ImageId,Label
1,2
2,0
3,8
4,2
5,7
6,3
7,0
8,0
9,0
10,9
11,5
12,2
13,3
14,0
15,2
16,9
17,7
18,4
19,3
20,0
21,3
22,7
23,7
24,5
25,3
26,8
27,2
28,3
29,8
30,0
31,2
32,5
33,3
34,4
35,6
36,2
37,5
38,5
39,1
40,2
41,2
42,3
43,2
44,8
45,8
46,3
47,8
48,9
49,4
50,7
51,6
52,8
53,7
54,9
55,8
56,2
57,7
58,2
59,2
60,0
61,3
62,4
63,2
64,2
65,0
66,9
67,1
68,8
69,0
70,7
71,6
72,5
73,8
74,8
75,2
76,8
77,3
78,3
79,6
80,7
81,5
82,8
83,4
84,0
85,6
86,4
87,2
88,3
89,5
90,3
91,4
92,7
93,6
94,4
95,4
96,8
97,3
98,8
99,3
100,3
101,0
102,9
103,9
104,0
105,2
106,3
107,0
108,8
109,7
110,8
111,0
112,0
113,6
114,7
115,7
116,7
117,4
118,7
119,3
120,3
121,3
122,3
123,2
124,9
125,4
126,7
127,3
128,8
129,2
130,8
131,3
132,5
133,6
134,0
135,0
136,0
137,9
138,7
139,7
140,6
141,0
142,7
143,2
144,5
145,5
146,8
147,3
148,3
149,7
150,3
151,8
152,9
153,5
154,4
155,5
156,7
157,2
158,5
159,3
160,8
161,9
162,0
163,8
164,5
165,4
166,7
167,7
168,6
169,3
170,3
171,3
172,2
173,3
174,6
175,1
176,9
177,2
178,5
179,1
180,2
181,3
182,9
183,4
184,2
185,5
186,3
187,4
188,7
189,4
190,0
191,6
192,4
193,2
194,3
195,6
196,0
197,8
198,3
199,4
200,8
201,4
202,4
203,0
204,4
205,8
206,0
207,8
208,5
209,6
210,2
211,0
212,3
213,3
214,6
215,2
216,2
217,4
218,6
219,9
220,3
221,2
222,3
223,4
224,4
225,2
226,2
227,9
228,6
229,4
230,0
231,0
232,6
233,3
234,7
235,7
236,9
237,2
238,9
239,3
240,6
241,2
242,6
243,4
244,9
245,5
246,5
247,2
248,8
249,9
250,3
251,3
252,3
253,4
254,3
255,7
256,2
257,9
258,7
259,3
260,7
261,6
262,7
263,8
264,5
265,3
266,0
267,6
268,8
269,4
270,9
271,6
272,0
273,6
274,3
275,2
276,3
277,7
278,5
279,3
280,2
281,7
282,2
283,2
284,0
285,5
286,3
287,3
288,9
289,2
290,8
291,5
292,1
293,2
294,8
295,3
296,6
297,3
298,0
299,7
300,9
301,6
302,8
303,8
304,9
305,6
306,3
307,3
308,4
309,3
310,5
311,8
312,4
313,9
314,2
315,0
316,9
317,8
318,8
319,1
320,8
321,8
322,4
323,7
324,3
325,8
326,8
327,5
328,7
329,3
330,3
331,6
332,3
333,7
334,7
335,0
336,3
337,0
338,3
339,6
340,2
341,6
342,3
343,7
344,8
345,2
346,0
347,2
348,5
349,9
350,3
351,6
352,3
353,3
354,4
355,5
356,8
357,3
358,8
359,0
360,7
361,3
362,6
363,9
364,2
365,8
366,2
367,9
368,8
369,7
370,6
371,4
372,2
373,3
374,3
375,3
376,2
377,8
378,5
379,3
380,7
381,6
382,5
383,8
384,6
385,2
386,6
387,7
388,7
389,3
390,0
391,4
392,3
393,6
394,8
395,2
396,7
397,7
398,7
399,2
400,3
401,8
402,3
403,6
404,7
405,1
406,7
407,9
408,9
409,8
410,5
411,0
412,4
413,3
414,9
415,3
416,3
417,7
418,7
419,9
420,5
421,3
422,4
423,6
424,5
425,5
426,7
427,3
428,1
429,8
430,7
431,8
432,8
433,3
434,4
435,6
436,4
437,8
438,3
439,5
440,0
441,8
442,8
443,3
444,3
445,6
446,5
447,1
448,6
449,4
450,8
451,5
452,3
453,6
454,3
455,5
456,3
457,2
458,8
459,3
460,4
461,4
462,3
463,5
464,0
465,5
466,7
467,3
468,3
469,8
470,4
471,7
472,2
473,8
474,5
475,4
476,0
477,7
478,0
479,7
480,0
481,8
482,8
483,7
484,4
485,2
486,3
487,3
488,8
489,9
490,8
491,0
492,3
493,4
494,8
495,6
496,5
497,0
498,3
499,4
500,9
501,6
502,5
503,6
504,6
505,4
506,8
507,9
508,9
509,6
510,6
511,3
512,5
513,3
514,3
515,9
516,3
517,3
518,2
519,2
520,3
521,6
522,3
523,0
524,2
525,7
526,7
527,0
528,7
529,7
530,3
531,0
532,5
533,9
534,8
535,9
536,5
537,6
538,5
539,2
540,7
541,0
542,2
543,8
544,7
545,0
546,9
547,0
548,3
549,9
550,1
551,4
552,9
553,0
554,5
555,2
556,0
557,3
558,5
559,6
560,2
561,0
562,9
563,3
564,7
565,6
566,5
567,2
568,1
569,7
570,5
571,2
572,5
573,3
574,4
575,0
576,5
577,9
578,2
579,2
580,2
581,5
582,1
583,2
584,6
585,8
586,7
587,3
588,7
589,8
590,0
591,8
592,8
593,4
594,5
595,4
596,6
597,6
598,6
599,0
600,9
601,9
602,4
603,2
604,1
605,4
606,2
607,8
608,5
609,6
610,8
611,2
612,2
613,3
614,4
615,2
616,5
617,3
618,0
619,0
620,3
621,8
622,0
623,3
624,2
625,0
626,8
627,9
628,9
629,6
630,2
631,6
632,7
633,8
634,2
635,7
636,6
637,3
638,3
639,8
640,7
641,2
642,8
643,3
644,2
645,5
646,2
647,6
648,8
649,4
650,8
651,3
652,8
653,0
654,0
655,8
656,2
657,2
658,9
659,7
660,3
661,2
662,5
663,2
664,0
665,6
666,3
667,1
668,3
669,5
670,6
671,3
672,3
673,8
674,3
675,9
676,3
677,2
678,2
679,6
680,0
681,6
682,3
683,4
684,7
685,4
686,3
687,2
688,2
689,1
690,1
691,9
692,6
693,6
694,7
695,8
696,8
697,7
698,3
699,8
700,9
701,2
702,0
703,5
704,0
705,6
706,5
707,5
708,3
709,6
710,9
711,3
712,2
713,7
714,5
715,8
716,2
717,0
718,9
719,3
720,8
721,8
722,0
723,7
724,7
725,7
726,5
727,6
728,3
729,8
730,5
731,3
732,1
733,3
734,7
735,8
736,2
737,7
738,0
739,7
740,9
741,2
742,6
743,4
744,3
745,0
746,8
747,4
748,1
749,3
750,6
751,6
752,8
753,5
754,2
755,1
756,8
757,3
758,1
759,1
760,8
761,2
762,0
763,5
764,0
765,8
766,0
767,6
768,4
769,7
770,8
771,6
772,0
773,0
774,7
775,6
776,9
777,2
778,0
779,3
780,4
781,7
782,6
783,6
784,8
785,1
786,5
787,9
788,3
789,8
790,5
791,4
792,0
793,3
794,0
795,2
796,3
797,7
798,6
799,3
800,0
801,4
802,4
803,3
804,5
805,4
806,8
807,1
808,6
809,8
810,4
811,5
812,3
813,2
814,9
815,2
816,3
817,4
818,3
819,3
820,2
821,9
822,0
823,5
824,0
825,1
826,9
827,2
828,6
829,5
830,3
831,8
832,3
833,0
834,8
835,7
836,5
837,6
838,4
839,5
840,5
841,4
842,2
843,0
844,8
845,2
846,4
847,3
848,2
849,3
850,5
851,8
852,3
853,2
854,2
855,4
856,4
857,7
858,3
859,8
860,5
861,0
862,5
863,7
864,4
865,2
866,3
867,4
868,8
869,2
870,3
871,2
872,5
873,3
874,3
875,7
876,3
877,4
878,4
879,0
880,1
881,8
882,2
883,4
884,4
885,2
886,8
887,7
888,5
889,8
890,3
891,4
892,1
893,6
894,0
895,2
896,2
897,8
898,3
899,1
900,7
901,5
902,7
903,3
904,3
905,5
906,2
907,8
908,4
909,2
910,1
911,2
912,0
913,6
914,8
915,7
916,4
917,8
918,6
919,7
920,5
921,2
922,4
923,5
924,3
925,6
926,2
927,3
928,6
929,6
930,3
931,8
932,2
933,7
934,2
935,2
936,0
937,2
938,3
939,8
940,4
941,6
942,0
943,6
944,7
945,2
946,3
947,8
948,2
949,3
950,4
951,4
952,3
953,5
954,2
955,3
956,7
957,8
958,7
959,6
960,2
961,2
962,1
963,3
964,0
965,0
966,3
967,7
968,8
969,2
970,5
971,3
972,0
973,9
974,6
975,1
976,0
977,3
978,6
979,3
980,2
981,3
982,8
983,3
984,8
985,8
986,8
987,0
988,5
989,8
990,2
991,4
992,3
993,2
994,6
995,4
996,9
997,6
998,2
999,4
1000,8
1001,5
1002,1
1003,0
1004,2
1005,1
1006,3
1007,2
1008,6
1009,7
1010,3
1011,2
1012,2
1013,7
1014,2
1015,7
1016,9
1017,0
1018,9
1019,8
1020,8
1021,5
1022,1
1023,8
1024,6
1025,2
1026,6
1027,4
1028,5
1029,5
1030,7
1031,9
1032,1
1033,8
1034,3
1035,5
1036,3
1037,5
1038,5
1039,0
1040,0
1041,7
1042,6
1043,7
1044,2
1045,2
1046,7
1047,2
1048,3
1049,6
1050,4
1051,4
1052,6
1053,0
1054,9
1055,0
1056,4
1057,7
1058,9
1059,6
1060,5
1061,0
1062,0
1063,2
1064,2
1065,0
1066,2
1067,2
1068,0
1069,4
1070,1
1071,5
1072,9
1073,1
1074,6
1075,0
1076,2
1077,6
1078,1
1079,2
1080,8
1081,3
1082,0
1083,2
1084,9
1085,3
1086,5
1087,6
1088,4
1089,9
1090,7
1091,9
1092,4
1093,2
1094,7
1095,3
1096,6
1097,5
1098,3
1099,3
1100,7
1101,3
1102,4
1103,3
1104,7
1105,8
1106,2
1107,6
1108,6
1109,8
1110,2
1111,3
1112,7
1113,2
1114,4
1115,0
1116,5
1117,2
1118,4
1119,5
1120,8
1121,4
1122,6
1123,6
1124,7
1125,6
1126,3
1127,8
1128,6
1129,4
1130,7
1131,0
1132,9
1133,8
1134,0
1135,9
1136,6
1137,8
1138,3
1139,2
1140,3
1141,4
1142,0
1143,6
1144,4
1145,2
1146,6
1147,8
1148,3
1149,5
1150,8
1151,6
1152,3
1153,8
1154,6
1155,3
1156,8
1157,8
1158,4
1159,8
1160,0
1161,8
1162,4
1163,6
1164,0
1165,6
1166,3
1167,8
1168,2
1169,8
1170,6
1171,8
1172,2
1173,1
1174,7
1175,8
1176,2
1177,2
1178,3
1179,3
1180,0
1181,9
1182,8
1183,5
1184,6
1185,0
1186,3
1187,0
1188,3
1189,7
1190,8
1191,2
1192,7
1193,9
1194,8
1195,8
1196,3
1197,4
1198,0
1199,8
1200,5
1201,5
1202,8
1203,9
1204,0
1205,4
1206,8
1207,0
1208,6
1209,3
1210,6
1211,4
1212,2
1213,8
1214,8
1215,5
1216,8
1217,4
1218,1
